PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
86152: reward: -103.32, mean_100: -22.68, episodes: 284
87153: reward:  60.37, mean_100: -20.99, episodes: 285
87603: reward: 211.88, mean_100: -18.38, episodes: 286
87812: reward: -96.54, mean_100: -18.54, episodes: 287
88050: reward: -114.66, mean_100: -21.59, episodes: 288
88279: reward: -82.44, mean_100: -22.83, episodes: 289
88567: reward: 158.78, mean_100: -20.99, episodes: 290
88804: reward: -70.96, mean_100: -22.13, episodes: 291
89055: reward: -36.34, mean_100: -21.02, episodes: 292
89391: reward: 219.74, mean_100: -17.74, episodes: 293
89509: reward: -30.05, mean_100: -17.92, episodes: 294
89725: reward: -51.78, mean_100: -18.12, episodes: 295
89907: reward: -84.40, mean_100: -19.51, episodes: 296
90058: reward: -28.13, mean_100: -20.99, episodes: 297
90303: reward: -24.79, mean_100: -20.61, episodes: 298
90504: reward: -48.00, mean_100: -20.24, episodes: 299
90662: reward: -58.31, mean_100: -19.70, episodes: 300
90829: reward: -55.19, mean_100: -19.29, episodes: 301
91035: reward: -74.76, mean_100: -19.25, episodes: 302
91306: reward: -33.94, mean_100: -18.99, episodes: 303
91514: reward: -48.98, mean_100: -20.88, episodes: 304
91708: reward: -72.99, mean_100: -20.17, episodes: 305
91823: reward: -52.02, mean_100: -22.72, episodes: 306
91970: reward:  -5.87, mean_100: -21.97, episodes: 307
92161: reward: -45.27, mean_100: -21.45, episodes: 308
92364: reward: -29.48, mean_100: -20.74, episodes: 309
92514: reward: -47.31, mean_100: -22.40, episodes: 310
93515: reward: 124.62, mean_100: -21.23, episodes: 311
93995: reward: 227.53, mean_100: -20.92, episodes: 312
94139: reward: -52.42, mean_100: -20.32, episodes: 313
95140: reward: 112.56, mean_100: -18.34, episodes: 314
95257: reward:  -8.11, mean_100: -16.90, episodes: 315
95530: reward: 242.44, mean_100: -16.54, episodes: 316
95664: reward:  22.96, mean_100: -15.15, episodes: 317
96378: reward: 228.53, mean_100: -12.82, episodes: 318
96502: reward:  -1.34, mean_100: -12.38, episodes: 319
97503: reward: 119.44, mean_100: -13.04, episodes: 320
98504: reward:  97.09, mean_100: -11.45, episodes: 321
99505: reward: 105.40, mean_100:  -9.07, episodes: 322
100506: reward: -33.08, mean_100:  -7.94, episodes: 323
100663: reward: -13.26, mean_100:  -7.05, episodes: 324
101664: reward:  68.28, mean_100:  -6.94, episodes: 325
101977: reward: 178.00, mean_100:  -4.22, episodes: 326
102192: reward: -77.57, mean_100:  -4.31, episodes: 327
102361: reward: -14.49, mean_100:  -3.35, episodes: 328
102484: reward:  -6.57, mean_100:  -2.54, episodes: 329
102722: reward:   0.03, mean_100:  -4.42, episodes: 330
103679: reward:  58.79, mean_100:  -3.36, episodes: 331
104425: reward: 158.64, mean_100:  -0.11, episodes: 332
105175: reward: 140.78, mean_100:   3.06, episodes: 333
106004: reward: -171.55, mean_100:   2.92, episodes: 334
106291: reward: -130.72, mean_100:   2.70, episodes: 335
106608: reward: -119.41, mean_100:   2.07, episodes: 336
106753: reward: -82.72, mean_100:   0.40, episodes: 337
106872: reward: -56.84, mean_100:   1.36, episodes: 338
107075: reward: -113.48, mean_100:   0.49, episodes: 339
107369: reward: -84.89, mean_100:  -1.40, episodes: 340
107556: reward: -127.95, mean_100:  -1.86, episodes: 341
107742: reward: -103.28, mean_100:  -2.44, episodes: 342
108053: reward: -102.68, mean_100:  -2.93, episodes: 343
108234: reward: -84.79, mean_100:  -2.69, episodes: 344
108641: reward: 142.38, mean_100:  -0.48, episodes: 345
109642: reward: -41.36, mean_100:  -0.30, episodes: 346
110046: reward: 197.26, mean_100:   1.88, episodes: 347
111047: reward: -119.93, mean_100:  -1.75, episodes: 348
112048: reward:  -2.66, mean_100:  -1.36, episodes: 349
112171: reward: -20.15, mean_100:  -0.37, episodes: 350
112603: reward: 178.01, mean_100:   1.64, episodes: 351
113152: reward: 192.47, mean_100:   4.95, episodes: 352
113645: reward: 137.16, mean_100:   6.79, episodes: 353
