5854162: reward:  53.71, mean_100:  74.16, episodes: 10009
5855163: reward:  56.25, mean_100:  73.46, episodes: 10010
5856164: reward:  67.78, mean_100:  73.48, episodes: 10011
5857165: reward:  81.39, mean_100:  73.88, episodes: 10012
5858166: reward:  70.55, mean_100:  73.64, episodes: 10013
5859167: reward:  64.04, mean_100:  73.60, episodes: 10014
5860168: reward:  68.94, mean_100:  73.66, episodes: 10015
5860666: reward: 189.91, mean_100:  74.76, episodes: 10016
5861667: reward:  71.27, mean_100:  74.98, episodes: 10017
5862668: reward:   5.31, mean_100:  74.45, episodes: 10018
5863669: reward:  41.10, mean_100:  73.93, episodes: 10019
5864150: reward: 199.86, mean_100:  74.32, episodes: 10020
5865151: reward:  14.40, mean_100:  74.06, episodes: 10021
5865700: reward: 169.31, mean_100:  75.26, episodes: 10022
5866701: reward:  63.41, mean_100:  75.26, episodes: 10023
5867702: reward:  15.18, mean_100:  74.95, episodes: 10024
5868703: reward:  22.34, mean_100:  74.75, episodes: 10025
5869704: reward:  52.71, mean_100:  73.85, episodes: 10026
5870705: reward:  64.59, mean_100:  73.70, episodes: 10027
5871706: reward:  68.72, mean_100:  73.73, episodes: 10028
5872707: reward:  36.91, mean_100:  73.68, episodes: 10029
5873708: reward:  57.55, mean_100:  72.73, episodes: 10030
5874709: reward:  37.99, mean_100:  72.42, episodes: 10031
5875538: reward: 156.10, mean_100:  73.18, episodes: 10032
5876539: reward:  19.97, mean_100:  71.74, episodes: 10033
5877540: reward:  39.15, mean_100:  71.96, episodes: 10034
5878541: reward:  54.54, mean_100:  71.68, episodes: 10035
5879542: reward:  60.21, mean_100:  71.80, episodes: 10036
5880271: reward: 111.22, mean_100:  71.49, episodes: 10037
5881272: reward:  75.07, mean_100:  72.07, episodes: 10038
5882091: reward: 143.52, mean_100:  73.08, episodes: 10039
5882629: reward: 162.95, mean_100:  74.31, episodes: 10040
5883383: reward: 113.02, mean_100:  75.05, episodes: 10041
5884384: reward:  19.14, mean_100:  74.50, episodes: 10042
5885082: reward: 158.32, mean_100:  75.59, episodes: 10043
5885766: reward: 192.48, mean_100:  76.84, episodes: 10044
5886767: reward:  55.04, mean_100:  75.50, episodes: 10045
5887768: reward:  53.78, mean_100:  75.22, episodes: 10046
5888769: reward:  77.55, mean_100:  75.48, episodes: 10047
5889332: reward: 111.00, mean_100:  75.80, episodes: 10048
5890333: reward:  38.77, mean_100:  76.10, episodes: 10049
5891334: reward:  48.22, mean_100:  74.81, episodes: 10050
5892335: reward:  76.34, mean_100:  74.86, episodes: 10051
5893336: reward:  39.15, mean_100:  74.68, episodes: 10052
5893919: reward: 185.70, mean_100:  74.65, episodes: 10053
5894688: reward: 163.41, mean_100:  75.68, episodes: 10054
5895689: reward:  48.23, mean_100:  75.86, episodes: 10055
5896306: reward: 189.57, mean_100:  77.26, episodes: 10056
5896785: reward: 159.53, mean_100:  78.32, episodes: 10057
5897512: reward: 169.93, mean_100:  79.37, episodes: 10058
5898513: reward:  39.43, mean_100:  79.22, episodes: 10059
5899077: reward: 157.44, mean_100:  80.42, episodes: 10060
5900078: reward:  43.55, mean_100:  80.02, episodes: 10061
5901079: reward:  79.55, mean_100:  80.12, episodes: 10062
5902080: reward:  62.88, mean_100:  79.65, episodes: 10063
5903081: reward:  64.73, mean_100:  79.99, episodes: 10064
5903679: reward: 110.47, mean_100:  80.71, episodes: 10065
5904680: reward:  61.87, mean_100:  80.68, episodes: 10066
5905681: reward:  52.76, mean_100:  80.56, episodes: 10067
5906350: reward: 116.34, mean_100:  81.45, episodes: 10068
5907351: reward:  83.96, mean_100:  81.71, episodes: 10069
5908352: reward:  29.48, mean_100:  81.52, episodes: 10070
5909353: reward:  59.46, mean_100:  81.68, episodes: 10071
5910354: reward:  22.37, mean_100:  80.35, episodes: 10072
5911355: reward:  54.27, mean_100:  80.48, episodes: 10073
5912356: reward:  66.95, mean_100:  80.93, episodes: 10074
5913357: reward:  18.93, mean_100:  79.21, episodes: 10075
5914358: reward:  62.54, mean_100:  79.56, episodes: 10076
5915072: reward: 166.27, mean_100:  79.63, episodes: 10077
5916073: reward:  -1.95, mean_100:  79.30, episodes: 10078
5917074: reward:  62.71, mean_100:  78.38, episodes: 10079
5918075: reward:  66.09, mean_100:  77.45, episodes: 10080
5918712: reward: 161.07, mean_100:  77.30, episodes: 10081
5919713: reward:   9.96, mean_100:  76.68, episodes: 10082
5920714: reward:   5.03, mean_100:  74.99, episodes: 10083
5921715: reward:  67.83, mean_100:  75.05, episodes: 10084
5922716: reward:  36.32, mean_100:  74.86, episodes: 10085
5923717: reward:  31.59, mean_100:  73.82, episodes: 10086
5924718: reward:  -4.34, mean_100:  72.98, episodes: 10087
5925719: reward:  37.24, mean_100:  73.07, episodes: 10088
5926720: reward:  -4.60, mean_100:  72.79, episodes: 10089
5927702: reward: 148.97, mean_100:  74.00, episodes: 10090
5928683: reward: 151.83, mean_100:  74.75, episodes: 10091
5929684: reward:  15.27, mean_100:  74.30, episodes: 10092
5930685: reward:  56.06, mean_100:  74.56, episodes: 10093
5931686: reward:  -0.10, mean_100:  73.90, episodes: 10094
5932687: reward:  37.65, mean_100:  73.60, episodes: 10095
5933688: reward:  41.90, mean_100:  73.71, episodes: 10096
5934366: reward: 128.57, mean_100:  74.72, episodes: 10097
5935367: reward:  83.78, mean_100:  75.40, episodes: 10098
5936368: reward:  -7.35, mean_100:  73.74, episodes: 10099
5937369: reward:  -7.49, mean_100:  72.42, episodes: 10100
5938370: reward:  38.58, mean_100:  72.33, episodes: 10101
5939127: reward: 122.80, mean_100:  73.03, episodes: 10102
5940128: reward:  -1.11, mean_100:  72.76, episodes: 10103
5941129: reward:  32.11, mean_100:  72.26, episodes: 10104
5941921: reward:  56.17, mean_100:  72.29, episodes: 10105
5942653: reward: 159.22, mean_100:  73.30, episodes: 10106
5943654: reward:  83.29, mean_100:  73.30, episodes: 10107
5944655: reward:  -6.35, mean_100:  72.49, episodes: 10108
5945656: reward:  -6.59, mean_100:  71.89, episodes: 10109
5946657: reward: -36.17, mean_100:  70.96, episodes: 10110
5947509: reward: 111.12, mean_100:  71.40, episodes: 10111
5948510: reward:  46.05, mean_100:  71.04, episodes: 10112
5949511: reward:  -4.67, mean_100:  70.29, episodes: 10113
5950422: reward:  95.53, mean_100:  70.61, episodes: 10114
5951423: reward:  11.48, mean_100:  70.03, episodes: 10115
5952241: reward:  92.98, mean_100:  69.06, episodes: 10116
5953095: reward: 140.41, mean_100:  69.75, episodes: 10117
5954096: reward: -29.83, mean_100:  69.40, episodes: 10118
5955097: reward:  10.69, mean_100:  69.10, episodes: 10119
5956098: reward:  22.47, mean_100:  67.32, episodes: 10120
5957099: reward:  -8.42, mean_100:  67.10, episodes: 10121
5957801: reward: 131.29, mean_100:  66.72, episodes: 10122
5958802: reward:  -2.63, mean_100:  66.06, episodes: 10123
5959769: reward: 112.36, mean_100:  67.03, episodes: 10124
5960511: reward: 124.61, mean_100:  68.05, episodes: 10125
5961512: reward:  21.06, mean_100:  67.73, episodes: 10126
5962513: reward:   0.58, mean_100:  67.09, episodes: 10127
5963514: reward: -19.01, mean_100:  66.22, episodes: 10128
5964515: reward: -17.22, mean_100:  65.67, episodes: 10129
5965233: reward: 156.24, mean_100:  66.66, episodes: 10130
5966120: reward: 103.36, mean_100:  67.32, episodes: 10131
5966969: reward:  80.87, mean_100:  66.56, episodes: 10132
5967567: reward: 157.77, mean_100:  67.94, episodes: 10133
5968568: reward:   6.64, mean_100:  67.62, episodes: 10134
5969569: reward:  36.28, mean_100:  67.43, episodes: 10135
5970529: reward: 110.07, mean_100:  67.93, episodes: 10136
5971530: reward:  28.72, mean_100:  67.11, episodes: 10137
5972531: reward:  19.61, mean_100:  66.55, episodes: 10138
5973190: reward: 187.94, mean_100:  67.00, episodes: 10139
5973782: reward: 138.29, mean_100:  66.75, episodes: 10140
5974459: reward: 137.65, mean_100:  67.00, episodes: 10141
5975460: reward:  23.26, mean_100:  67.04, episodes: 10142
5976461: reward:  18.91, mean_100:  65.64, episodes: 10143
5977259: reward:  95.67, mean_100:  64.68, episodes: 10144
5978260: reward:  58.14, mean_100:  64.71, episodes: 10145
5978905: reward: 162.64, mean_100:  65.80, episodes: 10146
5979836: reward: 156.07, mean_100:  66.58, episodes: 10147
5980837: reward:  41.26, mean_100:  65.88, episodes: 10148
5981838: reward:  42.85, mean_100:  65.92, episodes: 10149
5982326: reward: 170.54, mean_100:  67.15, episodes: 10150
5982882: reward: 160.73, mean_100:  67.99, episodes: 10151
5983883: reward:  28.49, mean_100:  67.88, episodes: 10152
5984884: reward:  86.42, mean_100:  66.89, episodes: 10153
5985885: reward:  73.82, mean_100:  66.00, episodes: 10154
5986886: reward:  53.32, mean_100:  66.05, episodes: 10155
5987887: reward:  32.10, mean_100:  64.47, episodes: 10156
5988888: reward:  52.22, mean_100:  63.40, episodes: 10157
5989889: reward:  67.38, mean_100:  62.37, episodes: 10158
5990890: reward:  82.72, mean_100:  62.81, episodes: 10159
5991891: reward:  40.80, mean_100:  61.64, episodes: 10160
5992892: reward:  75.63, mean_100:  61.96, episodes: 10161
5993893: reward:  96.58, mean_100:  62.13, episodes: 10162
5994894: reward:  62.39, mean_100:  62.13, episodes: 10163
5995895: reward:  94.85, mean_100:  62.43, episodes: 10164
5996896: reward:  73.81, mean_100:  62.06, episodes: 10165
5997897: reward:  71.78, mean_100:  62.16, episodes: 10166
5998898: reward:  92.98, mean_100:  62.56, episodes: 10167
5999899: reward:  84.23, mean_100:  62.24, episodes: 10168
6000900: reward:  49.65, mean_100:  61.90, episodes: 10169
