PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
112954: reward: 100.35, mean_100:   7.35, episodes: 447
113183: reward:  39.85, mean_100:   9.42, episodes: 448
113688: reward: 229.38, mean_100:  13.02, episodes: 449
113897: reward: -31.13, mean_100:  14.36, episodes: 450
114243: reward: -23.51, mean_100:  16.20, episodes: 451
115135: reward: -56.50, mean_100:  17.59, episodes: 452
115408: reward: 229.30, mean_100:  19.05, episodes: 453
116409: reward:  78.61, mean_100:  18.07, episodes: 454
117410: reward:   9.47, mean_100:  17.67, episodes: 455
117696: reward:  10.36, mean_100:  17.65, episodes: 456
118262: reward: 162.95, mean_100:  19.28, episodes: 457
119263: reward:  73.82, mean_100:  20.46, episodes: 458
120264: reward:  73.27, mean_100:  18.93, episodes: 459
121265: reward: -67.37, mean_100:  16.04, episodes: 460
122266: reward: -84.37, mean_100:  15.30, episodes: 461
123267: reward:  -0.34, mean_100:  15.29, episodes: 462
124268: reward:  55.24, mean_100:  16.33, episodes: 463
125269: reward:   7.66, mean_100:  16.32, episodes: 464
126270: reward: 111.40, mean_100:  15.23, episodes: 465
126678: reward: -12.96, mean_100:  13.87, episodes: 466
127679: reward: -68.64, mean_100:  12.91, episodes: 467
128680: reward: -80.18, mean_100:  11.64, episodes: 468
129681: reward: -69.19, mean_100:  11.52, episodes: 469
130682: reward: -19.43, mean_100:  13.37, episodes: 470
131683: reward: -86.27, mean_100:  13.16, episodes: 471
132684: reward: -107.49, mean_100:   9.39, episodes: 472
133685: reward:  25.91, mean_100:   9.14, episodes: 473
134686: reward: -77.08, mean_100:   8.74, episodes: 474
135687: reward: -86.19, mean_100:   8.35, episodes: 475
136688: reward: -98.29, mean_100:   6.56, episodes: 476
137585: reward: -108.70, mean_100:   5.64, episodes: 477
138586: reward: -66.44, mean_100:   5.10, episodes: 478
139587: reward: -90.24, mean_100:   3.95, episodes: 479
140588: reward: -83.34, mean_100:   4.88, episodes: 480
141589: reward: -104.88, mean_100:   3.86, episodes: 481
142590: reward: -102.35, mean_100:   2.89, episodes: 482
143338: reward: -196.81, mean_100:  -0.38, episodes: 483
144339: reward: -90.03, mean_100:  -0.49, episodes: 484
144842: reward: -198.94, mean_100:  -0.27, episodes: 485
145843: reward: -51.21, mean_100:   0.01, episodes: 486
146844: reward: -115.31, mean_100:   0.13, episodes: 487
